en,zh
"19. Requests the Special Rapporteur to continue to consider including in his report information on the followup by Governments to his recommendations, visits and communications, including progress made and problems encountered;",19. 请特别报告员继续考虑在其报告中载录有关资料，说明各国政府就其建议、访问与信函采取的后续行动，包括所取得的进展和面临的问题；
"She notes first of all that, given the victim's detention until just a few hours before his death and his worrying state of health -- he was not old and had previously been in perfect health -- it was the responsibility of the prosecution service, not the family of the victim, to bring criminal proceedings.",她指出，首先，鉴于受害人一直被拘留到死前几小时才被释放，而且他的身体状况令人担忧(他的年纪并不老，以前身体很好)，应该由检察部门而不是受害人家属提起刑事诉讼。
"(f) To assist, in cooperation and coordination with other partners, in further building the capacity of State and Government institutions in areas where specialized expertise is required, such as in the justice sector, and to promote a ""compact"" between Timor-Leste and the international community for coordinating Government, United Nations and other multilateral and bilateral contributors to priority programmes;","(f) 与其他合作伙伴合作和协调，在需要专门知识的领域，例如在司法部门，协助国家和政府机构进一步建立能力，促进东帝汶与国际社会缔结""契约""，以便东帝汶政府、联合国及其他多边和双边捐助者协调实施优先方案；"
"Establishing your weight loss account for a purchase of a special indulgence - like a manicure, massage, cosmetic, running shoes, DVD, or whatever is a treat to you - can both jump start your initial effort, and help keep you on track for the long term.",之后你可以将作为刺激因素而事来的钱拿来好好犒劳自己，如享受修指甲、推拿按摩服务，购买化妆品、跑鞋、DVD或任何你认为可以慰劳自己的东西。 这样一来，既可以让你原先作出的努力有所回报，有可以让你的减肥计划能长期坚持下去。
"283. The award of such pensions requires the insured person, who must have completed 52 weeks of insurance contributions in respect of industrial accidents and occupational diseases, to have suffered a partial loss of the capacity to work greater than 20 per cent.",283. 这种养老金的提供要求投保人已缴纳52周的工业事故和职业病保险费，且其部分丧失工作能力的程度在20%以上。
UNFPA devised a dedicated email address to communicate information as soon as there was an escalation of the alert phase.,人口基金设立了一个专用电邮地址，一旦警告升级则尽快沟通信息。
car bangers Thieves who steal form automobiles.,： 汽车窃贼从汽车里偷东西的贼。
"On Connectivity, the Government will open up the external facilities market based on satellites and new submarine or land cables. A total of 34 applications for such external facilities licences have been received and the Government aims to complete the evaluation of these applications by early 2000.",在接连方面，政府将开放以卫星及新的海底或陆上电缆为基础的对外电讯设施市场，并已收到三十四份有关提供上述对外电讯设施牌照的申请，政府旨在于二零零零年年初完成这些申请的评审工作。
“I agree with you．We can do nothing in occupied  Rouen．”,在鲁昂这个被占领的地方我们只会一事无成。
"Finally, the Committee is concerned that the human rights of children are not yet integrated in a fundamental body of law.",最后，委员会关注的是，儿童权利并未融入基本法律体系。
Chapter,章次
Thailand looks forward to actively participating in those meetings.,泰国期望积极参加这些会议。
"Now that Jerry Yang is planning to cut 10% of Yahoo's work force, he might want to contemplate saving a bit more money by firing his investment-banking advisers.",既然杨致远(Jerry Yang)已经计划在雅虎(Yahoo)裁员10%，他也许可以考虑再多节约点钱，解聘自己的投资银行顾问。
AGA informed the Group that no weapons or other security equipment would be required before August 2005.,AGA公司通知专家组，在2005年8月之前不需要武器或其他安保设备。
I dreamed about my native village.,我梦见我的家乡.
"Panel discussions and interactive dialogue with the participation of high-level officials of major international disarmament bodies, including the International Atomic Energy Agency, the Preparatory Commission for the Comprehensive Nuclear-Test-Ban Treaty Organization, the Organization for the Prohibition of Chemical Weapons, the Conference on Disarmament and others, explored conceptual as well as practical aspects of national and international security.",国际原子能机构、全面禁止核试验条约组织筹备委员会、禁止化学武器组织、裁军谈判会议等主要国际裁军机构高级别官员参加的小组讨论和互动对话，探讨了国家和国际安全的概念性和实际方面。
"Uh, yes. I have a summer place up in lake pleasant.",是的，我在湖边有套别墅。
The whole thing was so fantastic that I couldn't help being amused.,"整个这件事情实在太稀奇古怪了,我自己都不由得感到好笑."
"When South Korea joined the World Trade Organization and opened its fruit market in January 1995, the government lent Mrs. Yoon 15 million won, or about $14,300, at a 3% interest rate, and her family built greenhouses that year.","当韩国1995年加入世界贸易组织(WTO)并开放水果市场时，政府以3%的利息贷给了他们一家1,500万韩圆，约合1.43万美元，当年家里就建起了几座种植大棚。"
"The specific administrative regulations in this regard include the Special Regulations of the State Council on Strengthening Safety Supervision and Administration of Food and Other Products, Regulations of the People's Republic of China on the Administration of Production Licenses for Industrial Products, Regulations of the People's Republic of China on Certification and Accreditation, Regulations for the Implementation of the Law of the People's Republic of China on Import and Export Commodity Inspection, Regulations for the Implementation of the Law of the People's Republic of China on Animal and Plant Entry and Exit Quarantine, Administrative Regulations of the People's Republic of China on Veterinary Medicine, Administrative Regulations of the People's Republic of China on Pesticides, Provisions of the People's Republic of China on Place of Origin of Export Goods, Regulations for the Implementation of the Standardization Law of the People's Republic of China, Measures for Investigating, Punishing and Banning Unlicensed Business Operations, Regulations on the Administration of Feedstuffs and Feed Additives, Administrative Regulations on the Safety of Genetically Modified Agricultural Organisms and Regulations of the People's Republic of China on Import and Export of Endangered Wild Fauna and Flora.",法律包括《中华人民共和国产品质量法》、《中华人民共和国标准化法》、《中华人民共和国计量法》、《中华人民共和国消费者权益保护法》、《中华人民共和国农产品质量安全法》、《中华人民共和国刑法》、《中华人民共和国食品卫生法》、《中华人民共和国进出口商品检验法》、《中华人民共和国进出境动植物检疫法》、《中华人民共和国国境卫生检疫法》和《中华人民共和国动物防疫法》等。行政法规包括《国务院关于加强食品等产品安全监督管理的特别规定》、《中华人民共和国工业产品生产许可证管理条例》、《中华人民共和国认证认可条例》、《中华人民共和国进出口商品检验法实施条例》、《中华人民共和国进出境动植物检疫法实施条例》、《中华人民共和国兽药管理条例》、《中华人民共和国农药管理条例》、《中华人民共和国出口货物原产地规则》、《中华人民共和国标准化法实施条例》、《无照经营查处取缔办法》、《饲料和饲料添加剂管理条例》、《农业转基因生物安全管理条例》和《中华人民共和国濒危野生动植物进出口管理条例》等。
F. Debt bondage,F. 债役
"But Jesus beheld them, and said unto them, With men this is impossible; but with God all things are possible.",耶稣看着他们说，在人这是不能的。在神凡事都能。
" 13. Pollution of the atmosphere from industrial activity in the developed market economies appears to have moderated over the past two decades with improved energy efficiency, conservation and the decarbonization of fuels."," 13 . 在 发达 市场经济 国家 , 工业 活动 对 大气层 的 污染 似乎 在 过去 二十年 来 随 着 能源 效率 提高 、 节约 燃料 和 脱去 燃料 中 的 含碳量 而 趋于 缓和 。"
"Next day, the same routine  cycle ensues. Huh?","第二天, 这种生活重复循环着."
"Moreover, in undertaking these operations and regardless of the legality of the operation, the Israeli forces were obliged to do so in accordance with the law, including Israel's international human rights obligations.",此外，在采取这些行动时，无论行动的合法性如何，以色列军队有义务按照法律，包括以色列的国际人权义务行事。
The last sentence captured the windmill man.,最后一句话把那个做风车生意的人将了一军.
How is result blood disease treated? Which to treat?,功血病怎么治? 在哪治?
Having conducted the review of Dominica on 7 December 2009 in conformity with all the relevant provisions contained in Council resolution 5/1;,按照理事会第5/1号决议所载的所有相关规定，于2009年12月7日对多米尼克进行了审议；
Any doubts concerning the validity of the accusation shall be interpreted in favour of the accused.,涉及指控有效性的任何疑问应作有利于被告的解释。
"Its work was helping to create a more conducive environment for addressing the female dimensions of the pandemic, but the results were still unsatisfactory.",妇发基金的工作为在大流行病中顾及与女性相关的各种问题创造了更加有利的环境，但取得的成果仍然是不够的。
On the basis of investigation on industry practice some current calculation and estimation methods for technologic economics are summed up from several iron and steel enterprises.,在深入现场调查研究的基础上，概括并分析了一些企业现行的计算和评价方法；
paras. 136 and 147,第136和147段
She was two up on her opponent.,她胜过对手两分。
Law No. 95 of 4 September 1997 and subsequent implementing rules amended past provisions on the granting of stay and residence permits to foreigners.,1997年9月4日第95号法律及随后的实施细则对过去关于向外国人发放临时居留和居住许可的规定作出了修正。
"For the period from April to December 2006, 37 additional positions have been requested, bringing the proposed staffing level to 345, reflecting an increase of three international (3 Field Service), 31 national (8 National Officer, 23 Local level) and three United Nations Volunteers positions.",现已为2006年4月至12月期间请设37个新职位，使拟设职位数达345个，包括增加3个国际人员职位(3个外勤人员）、31个本国工作人员(8个本国干事，23个当地雇员）职位以及3个联合国志愿人员职位。
I'm broke. Burt: Maybe you can lease a car,勃特：你可以租一辆，不需要多少钱
"The other charge alleges the decoration worker of possessing a dangerous drug, namely, 0.36 gram of cannabis in herbal form, on July 9, 2007.",另一项控罪指该名装修工人於去年七月九日涉嫌管有危险药物，即零点三六克大麻草。
"It further provides that all Parties shall formulate, implement, publish and regularly update national programmes"" to address climate change.",《气候公约》同时也要求所有缔约方制定、执行、公布并经常更新应对气候变化的国家方案。
"Moreover, its stories gained visibility on popular search engines, such as Google News, including through increased pick-up by news aggregator sites and a variety of other media outlets.",此外，通过新闻搜集网站和各种其它媒体加大对新闻的提取，联合国新闻服务处的报道在诸如谷歌新闻等大众搜索引擎上的可见度有所提高。
"22. The integrated United Nations library service would, inter alia:",22. 联合国综合图书馆处除其他外将开展以下工作：
19.I would like my beefsteak well done.,我要熟一点儿的牛排。
18 July 2003,2003年7月18日
"As discussed under phase I above, the first step in the transformation will begin in the 2011/12 financial period with the transfer of asset management functions from Headquarters to UNLB.",如上文述及第一阶段时所述，转换的头一步将从2011/12年财政期间开始，届时将把资产管理职能从总部转到后勤基地。
Vacancy rates,空缺率
What is happiness? People have come up with various answers to this question.,幸福是什么? 对这个问题人们有各种各样的答案.
"Even the excellent chapter on game theory has a practical hero: the card player, Chris “Jesus” Ferguson, who applied its lessons to win the poker world championship in 2000.",即使是介绍博弈论的优秀篇章也会引用现实中的英雄做为例证：玩牌人Chris “Jesus” Ferguson曾运用此理论在2000年世界扑克锦标赛中胜出。
"The Ministry of Education is working on the formulation of the Regulations on Administration of Secondary Vocational School Internships (for Trial Implementation), in order to further protect the lawful rights and interests of students during internship training.",目前，教育部正在研究制定《职业学校顶岗实习管理规定(试行)》，以进一步维护学生在实习实训中的合法权益。
1. Procedural matters:,1. 程序事项：
Draft decision A/64/L.47 was adopted.,决定草案A/64/L.47获得通过。
"S/RES/1806 (2008), op.14",S/RES/1806(2008)，执行部分第14段
"Of the total number of inhabitants counted in the census, 63,879 (78%) had reached the age of majority.","在人口普查统计出来的居民总人数中，有63,879人(78%)已经成年。"
Rule 1,第 1 条
"Zeyad Khalaf Hamadie Al-Gertani (represented by counsel, Nedzmija Kukricar)",Zeyad Khalaf Hamadie Al-Gertani (由律师Nedzmija Kukricar代理)
"2. Requests the new Special Rapporteur, in accordance with his mandate, to provide comprehensive and up-to-date information on the adverse effects that the improper management and disposal of hazardous substances and wastes may have on the full enjoyment of human rights, for example, information on:",2. 请新任特别报告员根据其任务规定，提供关于危险物质及废料的不当管理和处置对享受人权可能产生的不利影响的全面和最新资料，如关于以下方面的资料：
"New York, 2-27 July 2012",2012年7月2日至27日，纽约
Please provide the name of the monitoring institution in charge and the monitoring result.,请提供负责监测的机构名称及监测结果。
"International IDEA is also undertaking political party training in Khartoum for 22 political parties, funded by UNDP.",国际民主和选举援助学会(民主选举学会)也在开发署的资助下，在喀土穆为22个政党进行政党培训。
"However, developing-country firms may also bring disadvantages to their hosts.",26. 但是，发展中国家的公司企业可能也会给东道国带来不利的因素。
"This will be on full display at the end of June, when South Korea’s new president, Park Geun-hye, visits Beijing to meet China’s new president, Xi Jinping.",六月底韩国新总统朴槿惠访问北京会晤中国新任主席习近平充分表明会谈惠及中韩关系。
Participants at the meeting also discussed the problems experienced during implementation of the pilot projects.,与会者还探讨了在执行试验项目过程中遇到的问题。
wound[wu:nd]My watch has stopped for I didn't wind it last night.She wound a little cat in her arms.,我的手表停了，因为我昨晚没有上发条。 她抱着小猫。
Land for construction purposes in starting enterprises provided for in the preceding paragraph shall be put under strict control.,按照前款规定兴办企业的建设用地，必须严格控制。
"So the challenge was, I worked for Microsoft for a little bit, working on the Microsoft Barney.",所以挑战在于，我曾为微软工作过，微软巴尼娃娃。
17. It was suggested that the Authority should facilitate the integration and distribution of environmental data and information from contractors through database development.,17. 有人提议，管理局应促进通过开发数据库来纳入和传播来自承包者的环境数据和信息。
"3. Similarly, explanatory statements of position may be made in connection with a decision taken without a vote.",3. 同样，对于不进行表决作出的决定，也可发言对立场加以解释。
"It also regrets the lack of information on policies to protect the children of migrant workers in the State party, including those in an irregular situation.",委员会还遗憾地感到，警方没有缔约国境内保护移徙工人儿童，包括那些无正规身份儿童的资料。
It also includes large packagings which differ from the design type only in their lesser design height.,它也包括仅在设计高度上比设计型号小的大型容器。
The Prosecutor has also appealed against the finding of not guilty entered on certain counts.,检察官也对判决书对某些罪项作出无罪裁定提出上诉。
"In the creation of the Slovak Republic, particular attention was paid to providing continuity and stability of the legal system as the essential prerequisite for the stability of State institutions and the observance of human rights.",4. 在建立斯洛伐克共和国的过程中，特别注意到作为保持国家机构稳定和尊重人权的主要先决条件的法律系统的连续性和稳定性。
"It is anticipated that with the full implementation of both Releases 3 and 4, most of the consultancy requirements will no longer be required.",预计随着单元三和单元四的充分执行，将不再要求提供大多数所需顾问费用。
The discrimination in weapons also amounts to a discrimination against human beings.,对武器的区别对待等同于对人的歧视。
My country joins others in calling for increased international cooperation in space technology.,"我国 同 其他 国家 一道 , 呼吁 加强 国际 空间 技术 的 合作 。"
63. Latvia noted with satisfaction Andorra's firm commitment to protecting and promoting human rights and its generally good human rights record.,63. 拉脱维亚满意地注意到安道尔对保护和促进人权的坚定承诺及其总体良好的人权记录。
Table 4,表4
388. The Government of the United Kingdom has sought to raise awareness of the Group’s due diligence guidelines in several ways.,388. 联合王国政府努力以多种方式提高对专家组《尽职调查准则》的认识。
 (e) Enhancement of the effectiveness of the approved roster of bidders and the formulation of standard and transparent guidelines and procedures for the pre-qualification of potential suppliers;," ( e ) 增强 核定 投标者 名册 的 效力 , 并 制订 可能 的 供应 商 资格 预审 的 标准 和 透明 的 准则 和 程序 ;"
(c) Confirmation of the appointment of members of the Investments Committee (resolution 155 (II) of 15 November 1947 and decision 58/414 of 17 December 2003);,(c) 认可投资委员会成员的任命（1947年11月15日第155（II）号决议和2003年12月17日第58/414号决定）；
Report on Housing Authority Project Completion,房屋委员会工程项目完成报告
(ii) The tendency with regards to cannon shells is that the threat to the local population and the clearance effort or danger is more or less proportional to numbers found on the ground.,在炮弹方面的趋势是，对当地民众的威胁以及排雷的努力或危险或多或少与现场发现的数量成比例关系。
General Assembly resolution 39/46 A,大会第39/46 A号决议
(ii) Group training including seminars and workshops,"㈡㈡集体培训,包括讨论会和讲习班。"
"Possible alternatives to deal with the problem, such as biological or chemical treatment methods to deal with the unwanted organisms, or improved ship designs, are currently being studied.","处理这个问题的其他办法,如对付有害微生物的生物或化学处理方法,或改进船舶设计等,目前正在研究之中。"
"The group also welcomed the participation in this meeting of Ms. Tina Guthrie (Canada) and Mr. Klaus Broersma (Netherlands) as two additional experts invited in accordance with paragraph 2 of the LEG terms of reference which states that ""the group may draw upon additional expertise as deemed necessary"".",6. 根据专家组职权范围第2段的规定(小组必要时可请更多的专家)，小组还欢迎蒂娜·居特里女士(加拿大)和克劳斯·布勒斯曼先生(荷兰)作为额外邀请的两名专家与会。
User-Centered Professionals at IBM,eBay招聘高级用户体验研究员
The aim of the survey was to find out the problems that specialists who fight against trafficking in human beings have to deal with.,该调查的目的在于找出打击贩运人口专家必须处理的问题。
A: I suppose Im a reasonable student. I passed all my tests and enjoyed studying subjects that interested me,A: 我想我是一个挺好的学生，我通过了所有的考试，而且喜欢学习我感兴趣的课程
Opening of the session,会议开幕
Twelve of these Teams included specialists on international labour standards.,其中 12 个 拥有 国际 劳工 标准 的 专家 。
The measures for the administration of issuance and transaction of securities derivatives shall be prescribed by the State Council according to the principles of the present Law.,证券衍生品种发行、交易的管理办法，由国务院依照本法的原则规定。
"(H.Jackson , British writer)  Happy is the man who is living by his hobby.",（英国作家 杰克逊.H.）来源：优习网醉心于某种癖好的人是幸福的。
"In two cases, Rolando Portaleza and Jacqueline Paguntalan, members of Bayan Muna Party List, were allegedly abducted at the Agata beach resort, Baranguay Kilim, Baybay, by Tagalog-speaking persons in civilian clothes believed to belong to the ISU of the 8th Infantry Division of the Philippines Army.",在两起案件中，菲律宾人民第一党成员罗兰多·波特拉扎和杰奎琳·帕干塔兰据称在贝贝城Baranguay Kilim 的Agata海滩度假村遭到一伙身着便衣的人绑架，这伙人讲的是他加禄语，据信属于菲律宾陆军第8步兵师的情报服务单位。
"On the other hand, weather conditions in 1999 were favourable to opium production, resulting in an improved yield.",但1999年的天气条件对鸦片生产有利，致使产量增加。
Emissions trading,排放量交易
The members of the Subcommittee expressed their gratitude to IAEA for having co-sponsored the workshop.,118. 小组委员会各成员感谢原子能机构合办此次讲习班。
(Percentages),(百分比)
People believe that computer skills will enhance their job opportunities or promotion opportunities. 23,人们相信拥有计算机技术可以获得更多工作或提升的机会
"Essentially a fine food wine with roasted chicken, pastas and creamy cheese buttery sauces.",一款适合于烤鸡 、 意大利面、奶油干酪一起享用的美酒.
"Liability would be incurred in any case by the liable private party and, possibly - if the ideas expressed in footnote 7 are accepted - by a group of liable parties.","有 责任 的 私人 当事者 在 任何 案件 中 都 要 承受 责任 , 如果 接受 脚注 7 所 表示 的 观念 的 话 , 一批 有 责任 的 当事者 也 可能 要 承受 责任 。"
" Recalling General Assembly resolution 43/181 of 20 December 1988 on the Global Strategy for Shelter to the Year 2000,"," 回顾 大会 关于 《 到 2 000年 的 全球 住房 战略 》 的 1988年 12月 20日 第43 / 181 号 决议 ,"
49. Women and their husbands and children who are non-nationals also face difficulties in their access to work.,49. 作为非国民的妇女及其丈夫和子女在就业方面也会遇到困难。
"The two ""flagship"" reports, TIR and IER, are launched through international events and presented at international conferences.","两份""旗舰""报告----《技术和创新报告》和《信息经济报告》通过国际活动发布并在国际会议上推出。"
Conclusion: Lymphoma with spinal epidural or intradural involvement at initial presentation is an aggressive disease.,结论: 以硬膜上或硬膜内压迫为初始症状之淋巴瘤是一种进行快速的疾病.
"6. The embargo imposed by the Government of the United States of America on Cuba has been in place for almost five decades, adversely affecting the standard of living of Cuban citizens and the normal functioning of the Cuban economy.",6. 美利坚合众国政府对古巴实行封锁已有近50年了，对古巴公民的生活水平和古巴经济的正常运作产生了不利影响。
